1140204;JOANA DEQUE
1140205;MEIO DE ESPANHA
1140206;OS LOMBOS
1140207;SELADA DE CHAPA
1140208;MOROÇOS
1140209;CANCELA
1140210;COVOADA
1140211;FURNAS DE SAL
1140212;LOMBO CASINHA D'ONOR
1140213;MEIO D'GORES
1140301;BOCA DE ENDRIANO
1140302;BRANQUINHA
1140303;CABECADAS
1140304;CABO DA RIBEIRA
1140305;CHA DE ASCENCIO DE HORTA
1140306;CHA DE CIMA
1140307;CHA DE FIGUEIRA
1140308;CHA DE GUIM
1140309;CHA LUIS
1140310;CHANZINHA DE CABECADAS
1140311;CHANZINHA DE HORTAS
1140312;COVOADA
1140313;ENCHADO
1140314;ENDRIANO
1140315;ESPONJEIRO
1140316;FAJA DE MATOS
1140317;FAJA GRANDE
1140318;FANADO
1140319;FUNDO
1140320;FUNDO CHICA
1140321;FUNDO ESTEVAO
1140322;GUIMILEIRO
1140323;LOMBINHO
1140324;LOMBO AMARO
1140325;LOMBO DA CRUZ
1140326;LOMBO DE CACAIO
1140327;LOMBO ENDRIANO
1140328;LOMBO DE TILANDIA DE F. MATOS
1140329;LOMBO DE TILANDIA DE MANTA VELHA
1140330;LOMBO GEADA
1140331;LOMBO JOANINHA
1140332;LOMBO MARIO
1140333;LOMBO NICO
1140334;MANTA VELHA DE FAJÃ DE MATOS
1140335;PORTALINHO DE CABECADAS
1140336;PORTALINHO DE HORTA
1140337;PORTALINHO DE MANTA VELHA
1140338;LOMBO DE NICHE
1140339;CHÃ DE BENTO
1140340;CHÃ DE NOVE
1140341;LOMBO DE GUIM
1140342;GUDE
1140343;PILÃO
1140344;CHÃ DE CAVALO
1140345;CHÃZINHA
1140346;PORTALINHO
1140347;ENXODE
1140348;CAVOCO DE JOÃO VERÍSSIMO
1140349;HORTAS DA GARÇA
1140350;CHÃ DE GOTEIRA
1140351;LOMBO MATIAS
1140353;MARCELO
1140354;LOMBO PELADO
1140355;LOMBO ISIDORA
1140356;LOMBO JOAO DA NINHO
1140401;ESPADANA
1140501;CABO DA RIBEIRA
1140502;CHA DE SANTO
1140503;CHA DE BEANA
1140504;CHA DE MAR
1140505;CHA DE PAULO
1140506;CHA QUEIMADO
1140507;DESCIDA
1140508;VARZINHA
1140509;CHÃZINHA
1140510;LOMBO DE SANTO
1140511;LOMBO
1140512;PÉ DA VINHA
1210101;CHA DE FAZENDA
1210102;CHA DE MANUEL DOS SANTOS
1210103;CHA DE MATO
1210104;CHA DE PADRE DE BAIXO
1210105;CHA DE PADRE DE CIMA
1210106;CHANZINHA
1210107;CINTA DE COVAO
1210108;COVA
1210109;COVAO
1210110;IGREJINHA
1210111;LADEIRA
1210112;LADEIRA FUMACA
1210113;LOMBO DE GASPAR
1210114;PICO DE ANTONIO
1210115;RIBEIRA MARIA DOS REIS
1210116;RIBEIRA SECA
1210117;TABULEIRO DE BAIXO
1210118;TABULEIRO DE CIMA
1210119;TEIXEIRO
1210120;VOLTA ATE
1210121;PORTA DO POLYVALENTE
1210122;CINTA DE COVÃO
1210123;CHANZINHA
1210124;CHÃ CORREIA
1210125;RIBEIRA DE FEITOR
1210126;CHÃ BULE
1210127;CHÃ VALENTIM
1210128;MORRO  DE VENTO
1210129;CABO DA RIBEIRA
1210130;CAVOUQUINHO
1210201;CAMPO DE CAO
1210202;CHA DE JOAQUIM
1210203;CHA DE ERVA
1210204;CHÃO DE JOÃO VAZ
1210205;DRAGOEIRO
1210206;GREGÓRIO GONÇALVES
1210207;JOANICO
1210208;LOMBINHO
1210209;LOMBO DE GASPAR
1210210;LOMBO DE JOANE
1210211;LOMBO LARANJEIRA
1210212;NIKE
1210213;PASSAGEM
1210214;POIO DE PADRE
1210215;SAO TOME
1210216;ROCHA GRANDE
1210217;TEIXEIRO
1210218;LOMBO COMPRIDO
1210301;BOCA DE CAVOUCO
1210302;BOCA DE FIGUEIRAL
1210303;BORRANCA
1210304;CATIFE
1210305;COVA DE BOI
1210306;EITO DE BAIXO
1210307;EITO DE CIMA
1210308;ESDROGAL
1210309;FUNDO CAFÉ
1210310;HORTA DAS CANAS
1210311;LOMBO DE CIMA
1210312;LOMBO DE EITO
1210313;LOMBO DE MARIANA
1210314;MAJAJACA
1210315;PEDRA DAS MOCAS
1210401;BARBELAO
1210402;BRANQUINHO
1210403;CHA DE CAMOCA
1210404;CHA DE LOSNA
1210405;COVA DO ENGENHEIRO
1210406;COVADA DE LARANJA
1210407;ESTANCIA DE PEDRA
1210408;GRETAO
1210409;LADEIRA DAS PEDRAS
1210410;EL BORTO
1210411;LOMBO DE ERVA DOCE
1210412;LOMBO DE PEDRINHO
1210413;LOMBO FREDERICO
1210414;MORRO BRANCO
1210415;MORRO PRETO
1210416;PERO DIAS
1210417;PICO DA CRUZ
1210418;QUEIMADO
1210419;SELADINHA DE LENHAL
1210420;SEM VOZ
1210421;COVADA
1210422;LOMBO CARRASCO
1210423;CAIXA
1210424;SELADA ESTRAGA
1210425;CROQUE
1210426;COVADINHA
1210427;PEDRA FRADA
1210501;BARRACA
1210502;RIBEIRA DAS POMBAS
1210503;TARAFE
1210601;RIBEIRÃOZINHO DE BAIXO
1210602;RIBEIRÃOZINHO DE CIMA
1210603;TANQUE DE ESCADA
1210701;ONDRINHO
1210702;BORDA DE FIGUEIRAL
1210703;CHA DE FELICE
1210704;COVADINHA
1210705;CRUZ
1210706;LOMBO SANTA MARIA
1210707;MERADA NOVA
1210708;PEDRA FRADE
1210709;RIBEIRA DA BESTA
1210710;RIBEIRA DA ESTRADA
1210711;ROCHEADO
1210712;TABULEIRO
1210713;TAPUME
1210714;ESTRAGA
1210715;LOMBO COROD
1210716;CHÃ DE QUIMA
1210717;CHÃ DE GADEI
1210718;TAVERNA
1210719;SANTA ISABEL DA-LA
1210720;CHÃ DE CANDA
1210721;LOMBO NHA ROSÁRIA
1210722;CHÃ DE CANINHO
1210801;FAJA DAS POMBAS
1210901;COICE DAS POMBAS
1210902;POMBAS
1210903;ESTANCIA
1210904;PASSO
1210905;PAUL DE BAIXO
1210906;VICENTE
1210907;FAJA DAS POMBAS
1210908;FURNALHA
1210909;BOAVISTA
1210910;CAVOUCO DE VICENTE
1210911;CHÃ DE MARGARIDA
1210912;MON DE BAIXO
1210913;LARGO DE IGREJA
1211001;BACOTA
1211002;BATATAL
